,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Typical_price,cum_avg,cum_vol,VWAP
28,28,EUR_USD,M1,False,5,2022-01-11T04:46:00.000000000Z,1.134,1.134,1.13396,1.13398,1.13398,202.98716,179,1.1340064804469272
29,29,EUR_USD,M1,False,6,2022-01-11T04:46:00.000000000Z,1.134,1.134,1.13396,1.13399,1.1339833333333333,209.79106,185,1.1340057297297297
30,30,EUR_USD,M1,False,7,2022-01-11T04:46:00.000000000Z,1.134,1.134,1.13396,1.13398,1.13398,217.72892,192,1.1340047916666667
31,31,EUR_USD,M1,False,8,2022-01-11T04:46:00.000000000Z,1.134,1.134,1.13396,1.13396,1.1339733333333333,226.80070666666666,200,1.1340035333333334
32,32,EUR_USD,M1,True,8,2022-01-11T04:46:00.000000000Z,1.134,1.134,1.13396,1.13396,1.1339733333333333,235.87249333333332,208,1.1340023717948717
33,33,EUR_USD,M1,False,1,2022-01-11T04:47:00.000000000Z,1.13395,1.13395,1.13395,1.13395,1.13395,237.00644333333332,209,1.1340021212121212
34,34,EUR_USD,M1,False,2,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.13395,1.13396,1.1339566666666667,239.27435666666665,211,1.134001690363349
35,35,EUR_USD,M1,False,3,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.13395,1.13395,1.1339533333333334,242.67621666666665,214,1.134001012461059
36,36,EUR_USD,M1,False,4,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.13395,1.13396,1.1339566666666667,247.21204333333333,218,1.1340001987767583
37,37,EUR_USD,M1,False,7,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.13392,1.13392,1.1339333333333332,255.14957666666666,225,1.1339981185185184
38,38,EUR_USD,M1,False,8,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.13392,1.13392,1.1339333333333332,264.22104333333334,233,1.1339958941344779
39,39,EUR_USD,M1,False,9,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.1339,1.1339199999999998,274.42632333333336,242,1.1339930716253444
40,40,EUR_USD,M1,False,10,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13392,1.1339266666666665,285.76559000000003,252,1.1339904365079367
