Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
EUR_USD,M1,True,44,2022-01-11T04:00:00.000000000Z,1.13416,1.13416,1.13410,1.13410
EUR_USD,M1,True,10,2022-01-11T04:01:00.000000000Z,1.13412,1.13412,1.13409,1.13410
EUR_USD,M1,True,4,2022-01-11T04:02:00.000000000Z,1.13409,1.13410,1.13409,1.13410
EUR_USD,M1,True,12,2022-01-11T04:03:00.000000000Z,1.13409,1.13410,1.13408,1.13410
EUR_USD,M1,True,6,2022-01-11T04:04:00.000000000Z,1.13408,1.13410,1.13408,1.13409
EUR_USD,M1,True,5,2022-01-11T04:05:00.000000000Z,1.13410,1.13412,1.13410,1.13410
EUR_USD,M1,True,11,2022-01-11T04:07:00.000000000Z,1.13412,1.13412,1.13407,1.13407
EUR_USD,M1,True,11,2022-01-11T04:08:00.000000000Z,1.13406,1.13408,1.13405,1.13408
EUR_USD,M1,True,20,2022-01-11T04:09:00.000000000Z,1.13407,1.13407,1.13392,1.13396
EUR_USD,M1,True,18,2022-01-11T04:10:00.000000000Z,1.13398,1.13398,1.13390,1.13390
EUR_USD,M1,True,31,2022-01-11T04:11:00.000000000Z,1.13388,1.13389,1.13382,1.13387
EUR_USD,M1,True,10,2022-01-11T04:12:00.000000000Z,1.13388,1.13388,1.13386,1.13386
EUR_USD,M1,True,20,2022-01-11T04:13:00.000000000Z,1.13388,1.13392,1.13387,1.13387
EUR_USD,M1,True,18,2022-01-11T04:14:00.000000000Z,1.13386,1.13386,1.13378,1.13382
EUR_USD,M1,True,6,2022-01-11T04:15:00.000000000Z,1.13382,1.13392,1.13382,1.13392
EUR_USD,M1,True,12,2022-01-11T04:16:00.000000000Z,1.13394,1.13396,1.13391,1.13392
EUR_USD,M1,True,12,2022-01-11T04:17:00.000000000Z,1.13390,1.13392,1.13386,1.13388
EUR_USD,M1,True,3,2022-01-11T04:18:00.000000000Z,1.13387,1.13388,1.13387,1.13387
EUR_USD,M1,True,13,2022-01-11T04:19:00.000000000Z,1.13385,1.13387,1.13383,1.13383
EUR_USD,M1,True,8,2022-01-11T04:20:00.000000000Z,1.13382,1.13392,1.13382,1.13392
EUR_USD,M1,True,3,2022-01-11T04:21:00.000000000Z,1.13393,1.13397,1.13393,1.13397
EUR_USD,M1,True,2,2022-01-11T04:22:00.000000000Z,1.13396,1.13396,1.13393,1.13393
EUR_USD,M1,True,1,2022-01-11T04:23:00.000000000Z,1.13392,1.13392,1.13392,1.13392
EUR_USD,M1,True,6,2022-01-11T04:24:00.000000000Z,1.13394,1.13394,1.13391,1.13391
EUR_USD,M1,True,3,2022-01-11T04:25:00.000000000Z,1.13392,1.13392,1.13390,1.13392
EUR_USD,M1,True,7,2022-01-11T04:26:00.000000000Z,1.13390,1.13396,1.13390,1.13396
EUR_USD,M1,True,5,2022-01-11T04:27:00.000000000Z,1.13398,1.13402,1.13398,1.13401
EUR_USD,M1,True,9,2022-01-11T04:28:00.000000000Z,1.13400,1.13400,1.13392,1.13392
EUR_USD,M1,True,3,2022-01-11T04:29:00.000000000Z,1.13392,1.13394,1.13392,1.13394
EUR_USD,M1,True,8,2022-01-11T04:30:00.000000000Z,1.13393,1.13400,1.13393,1.13400
EUR_USD,M1,True,9,2022-01-11T04:31:00.000000000Z,1.13401,1.13401,1.13394,1.13396
EUR_USD,M1,True,5,2022-01-11T04:32:00.000000000Z,1.13395,1.13398,1.13394,1.13394
EUR_USD,M1,True,6,2022-01-11T04:33:00.000000000Z,1.13392,1.13394,1.13392,1.13394
EUR_USD,M1,True,7,2022-01-11T04:34:00.000000000Z,1.13392,1.13396,1.13391,1.13391
EUR_USD,M1,True,11,2022-01-11T04:35:00.000000000Z,1.13392,1.13398,1.13392,1.13394
EUR_USD,M1,True,8,2022-01-11T04:36:00.000000000Z,1.13395,1.13396,1.13392,1.13392
EUR_USD,M1,True,5,2022-01-11T04:37:00.000000000Z,1.13394,1.13396,1.13394,1.13394
EUR_USD,M1,True,17,2022-01-11T04:38:00.000000000Z,1.13394,1.13396,1.13393,1.13394
