Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,False,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
EUR_USD,M1,True,12,2022-01-11T05:35:00.000000000Z,1.13420,1.13420,1.13418,1.13418
