Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
EUR_USD,M1,True,36,2022-02-08T07:09:00.000000000Z,1.14198,1.142,1.14175,1.14176
EUR_USD,M1,False,28,2022-02-08T07:10:00.000000000Z,1.14175,1.14176,1.14166,1.14167
EUR_USD,M1,True,9,2022-02-08T07:11:00.000000000Z,1.14166,1.14168,1.14162,1.14162
EUR_USD,M1,False,14,2022-02-08T07:12:00.000000000Z,1.14164,1.14173,1.14164,1.14172
EUR_USD,M1,True,253,2022-02-08T07:13:00.000000000Z,1.14173,1.14176,1.1406,1.14074
EUR_USD,M1,False,168,2022-02-08T07:14:00.000000000Z,1.14076,1.14084,1.14054,1.14055
EUR_USD,M1,True,265,2022-02-08T07:15:00.000000000Z,1.14052,1.1406,1.14006,1.14047
EUR_USD,M1,True,111,2022-02-08T07:16:00.000000000Z,1.14049,1.14071,1.14047,1.14062
EUR_USD,M1,False,91,2022-02-08T07:17:00.000000000Z,1.14063,1.14088,1.14063,1.14088
EUR_USD,M1,False,85,2022-02-08T07:18:00.000000000Z,1.14087,1.14096,1.14074,1.14089
EUR_USD,M1,True,61,2022-02-08T07:19:00.000000000Z,1.14088,1.14094,1.14084,1.14094
EUR_USD,M1,True,32,2022-02-08T07:20:00.000000000Z,1.14093,1.14097,1.14081,1.14081
EUR_USD,M1,True,72,2022-02-08T07:21:00.000000000Z,1.14083,1.1409,1.14077,1.14082
EUR_USD,M1,True,32,2022-02-08T07:22:00.000000000Z,1.1408,1.14096,1.1408,1.1409
EUR_USD,M1,False,80,2022-02-08T07:23:00.000000000Z,1.14088,1.14091,1.14064,1.14064
EUR_USD,M1,False,88,2022-02-08T07:24:00.000000000Z,1.14066,1.14071,1.14048,1.14062
EUR_USD,M1,True,62,2022-02-08T07:25:00.000000000Z,1.14063,1.14084,1.14062,1.14081
EUR_USD,M1,False,52,2022-02-08T07:26:00.000000000Z,1.14082,1.14082,1.14052,1.14054
EUR_USD,M1,True,90,2022-02-08T07:27:00.000000000Z,1.14054,1.14056,1.14031,1.14033
EUR_USD,M1,False,165,2022-02-08T07:28:00.000000000Z,1.14035,1.14035,1.13993,1.1401
EUR_USD,M1,False,176,2022-02-08T07:29:00.000000000Z,1.14012,1.14012,1.13978,1.13986
