,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Gains,Loss,Avg_Gain,Avg_Loss,RSI
52,3292,EUR_USD,S5,True,2,2022-01-10T06:24:25.000000000Z,1.1329,1.13292,1.1329,1.13292,0.0,5.999999999994898e-05,1.1155767166751392e-05,2.53045787234739e-05,30.6
53,3327,EUR_USD,S5,True,1,2022-01-10T06:24:40.000000000Z,1.13291,1.13291,1.13291,1.13291,1.0000000000065512e-05,0.0,1.0924613733414217e-05,2.024366297877912e-05,35.05
54,3341,EUR_USD,S5,True,6,2022-01-10T06:24:50.000000000Z,1.13293,1.13293,1.1329,1.13292,1.999999999990898e-05,0.0,1.273969098671317e-05,1.6194930383023296e-05,44.03
55,3372,EUR_USD,S5,True,4,2022-01-10T06:24:55.000000000Z,1.1329,1.1329,1.13288,1.13288,0.0,2.999999999997449e-05,1.0191752789370536e-05,1.8955944306413535e-05,34.97
56,3515,EUR_USD,S5,True,1,2022-01-10T06:25:40.000000000Z,1.13287,1.13287,1.13287,1.13287,0.0,2.999999999997449e-05,8.153402231496428e-06,2.1164755445125725e-05,27.81
57,3562,EUR_USD,S5,True,4,2022-01-10T06:26:00.000000000Z,1.13286,1.13286,1.1328,1.1328,0.0,1.0000000000065512e-05,6.522721785197143e-06,1.8931804356113683e-05,25.62
58,3592,EUR_USD,S5,True,8,2022-01-10T06:26:05.000000000Z,1.13279,1.1328,1.13278,1.1328,0.0,7.00000000000145e-05,5.218177428157714e-06,2.9145443484893844e-05,15.19
59,3754,EUR_USD,S5,True,1,2022-01-10T06:27:00.000000000Z,1.13282,1.13282,1.13282,1.13282,2.999999999997449e-05,0.0,1.017454194252107e-05,2.3316354787915076e-05,30.38
60,3801,EUR_USD,S5,True,1,2022-01-10T06:27:20.000000000Z,1.13277,1.13277,1.13277,1.13277,0.0,4.999999999988347e-05,8.139633554016855e-06,2.8653083830308755e-05,22.12
61,3880,EUR_USD,S5,True,13,2022-01-10T06:27:45.000000000Z,1.13276,1.13276,1.13267,1.13268,0.0,1.0000000000065512e-05,6.511706843213485e-06,2.4922467064260108e-05,20.72
62,3961,EUR_USD,S5,True,1,2022-01-10T06:28:10.000000000Z,1.13268,1.13268,1.13268,1.13268,0.0,8.000000000008001e-05,5.209365474570788e-06,3.5937973651424085e-05,12.66
63,4020,EUR_USD,S5,True,5,2022-01-10T06:28:30.000000000Z,1.1327,1.13276,1.1327,1.13276,2.0000000000131024e-05,0.0,8.167492379682834e-06,2.875037892113927e-05,22.12
64,4062,EUR_USD,S5,True,7,2022-01-10T06:28:45.000000000Z,1.13277,1.13277,1.13274,1.13277,7.00000000000145e-05,0.0,2.0533993903749167e-05,2.3000303136911416e-05,47.17
65,4102,EUR_USD,S5,True,1,2022-01-10T06:29:05.000000000Z,1.13284,1.13284,1.13284,1.13284,7.00000000000145e-05,0.0,3.0427195123002234e-05,1.8400242509529134e-05,62.32
66,4126,EUR_USD,S5,True,1,2022-01-10T06:29:10.000000000Z,1.13286,1.13286,1.13286,1.13286,1.999999999990898e-05,0.0,2.834175609838358e-05,1.4720194007623307e-05,65.82
67,4142,EUR_USD,S5,True,1,2022-01-10T06:29:20.000000000Z,1.13287,1.13287,1.13287,1.13287,1.0000000000065512e-05,0.0,2.4673404878719966e-05,1.1776155206098645e-05,67.69
68,4173,EUR_USD,S5,True,1,2022-01-10T06:29:25.000000000Z,1.13288,1.13288,1.13288,1.13288,1.0000000000065512e-05,0.0,2.1738723902989074e-05,9.420924164878916e-06,69.77
69,4207,EUR_USD,S5,True,1,2022-01-10T06:29:35.000000000Z,1.13287,1.13287,1.13287,1.13287,0.0,1.0000000000065512e-05,1.739097912239126e-05,9.536739331916235e-06,64.58
70,4252,EUR_USD,S5,True,4,2022-01-10T06:29:50.000000000Z,1.13287,1.13288,1.13287,1.13288,0.0,0.0,1.3912783297913007e-05,7.629391465532988e-06,64.58
71,4295,EUR_USD,S5,True,3,2022-01-10T06:30:05.000000000Z,1.1329,1.13291,1.1329,1.13291,2.999999999997449e-05,0.0,1.7130226638325305e-05,6.1035131724263905e-06,73.73
72,4361,EUR_USD,S5,True,2,2022-01-10T06:30:30.000000000Z,1.1329,1.1329,1.13288,1.13288,0.0,0.0,1.3704181310660245e-05,4.8828105379411125e-06,73.73
73,4442,EUR_USD,S5,True,2,2022-01-10T06:30:55.000000000Z,1.1329,1.1329,1.1329,1.1329,0.0,0.0,1.0963345048528195e-05,3.90624843035289e-06,73.73
74,4492,EUR_USD,S5,True,1,2022-01-10T06:31:10.000000000Z,1.13288,1.13288,1.13288,1.13288,0.0,1.999999999990898e-05,8.770676038822556e-06,7.1249987442641075e-06,55.18
75,4546,EUR_USD,S5,True,3,2022-01-10T06:31:30.000000000Z,1.1329,1.1329,1.13288,1.13288,1.999999999990898e-05,0.0,1.101654083103984e-05,5.699998995411286e-06,65.9
76,4576,EUR_USD,S5,True,1,2022-01-10T06:31:35.000000000Z,1.13289,1.13289,1.13289,1.13289,0.0,1.0000000000065512e-05,8.813232664831872e-06,6.559999196342131e-06,57.33
77,4592,EUR_USD,S5,True,2,2022-01-10T06:31:45.000000000Z,1.1329,1.1329,1.13288,1.13288,1.0000000000065512e-05,0.0,9.050586131878601e-06,5.247999357073705e-06,63.3
78,4622,EUR_USD,S5,True,2,2022-01-10T06:31:50.000000000Z,1.13287,1.13287,1.13286,1.13286,0.0,2.999999999997449e-05,7.240468905502881e-06,1.0198399485653863e-05,41.52
79,4667,EUR_USD,S5,True,1,2022-01-10T06:32:05.000000000Z,1.13287,1.13287,1.13287,1.13287,0.0,0.0,5.792375124402305e-06,8.15871958852309e-06,41.52
80,4750,EUR_USD,S5,True,1,2022-01-10T06:32:30.000000000Z,1.13288,1.13288,1.13288,1.13288,1.0000000000065512e-05,0.0,6.633900099534946e-06,6.526975670818472e-06,50.41
81,4783,EUR_USD,S5,True,1,2022-01-10T06:32:40.000000000Z,1.13287,1.13287,1.13287,1.13287,0.0,1.0000000000065512e-05,5.307120079627956e-06,7.22158053666788e-06,42.36
82,4866,EUR_USD,S5,True,1,2022-01-10T06:33:05.000000000Z,1.13288,1.13288,1.13288,1.13288,1.0000000000065512e-05,0.0,6.2456960637154675e-06,5.777264429334304e-06,51.95
83,4901,EUR_USD,S5,True,1,2022-01-10T06:33:20.000000000Z,1.13286,1.13286,1.13286,1.13286,0.0,2.0000000000131024e-05,4.996556850972374e-06,8.621811543493649e-06,36.69
84,4916,EUR_USD,S5,True,2,2022-01-10T06:33:25.000000000Z,1.13285,1.13286,1.13285,1.13286,0.0,1.0000000000065512e-05,3.997245480777899e-06,8.89744923480802e-06,31.0
85,4978,EUR_USD,S5,True,1,2022-01-10T06:33:40.000000000Z,1.13294,1.13294,1.13294,1.13294,9.000000000014552e-05,0.0,2.1197796384651422e-05,7.117959387846417e-06,74.86
86,5036,EUR_USD,S5,True,3,2022-01-10T06:34:05.000000000Z,1.13292,1.13292,1.13289,1.13289,0.0,2.0000000000131024e-05,1.6958237107721138e-05,9.694367510303339e-06,63.63
87,5064,EUR_USD,S5,True,1,2022-01-10T06:34:10.000000000Z,1.13288,1.13288,1.13288,1.13288,0.0,3.999999999981796e-05,1.3566589686176911e-05,1.575549400820626e-05,46.27
88,5111,EUR_USD,S5,True,1,2022-01-10T06:34:30.000000000Z,1.13287,1.13287,1.13287,1.13287,0.0,1.0000000000065512e-05,1.0853271748941528e-05,1.460439520657811e-05,42.63
89,5127,EUR_USD,S5,True,3,2022-01-10T06:34:35.000000000Z,1.13288,1.1329,1.13288,1.13288,1.0000000000065512e-05,0.0,1.0682617399166324e-05,1.1683516165262489e-05,47.76
90,5161,EUR_USD,S5,True,2,2022-01-10T06:34:40.000000000Z,1.1329,1.13291,1.1329,1.13291,1.999999999990898e-05,0.0,1.2546093919314855e-05,9.34681293220999e-06,57.31
91,5199,EUR_USD,S5,True,2,2022-01-10T06:34:55.000000000Z,1.13291,1.13292,1.13291,1.13292,1.0000000000065512e-05,0.0,1.2036875135464986e-05,7.477450345767993e-06,61.68
92,5280,EUR_USD,S5,True,1,2022-01-10T06:35:20.000000000Z,1.13291,1.13291,1.13291,1.13291,0.0,0.0,9.629500108371989e-06,5.9819602766143945e-06,61.68
93,5326,EUR_USD,S5,True,1,2022-01-10T06:35:35.000000000Z,1.1329,1.1329,1.1329,1.1329,0.0,1.0000000000065512e-05,7.703600086697592e-06,6.785568221304618e-06,53.17
94,5408,EUR_USD,S5,True,1,2022-01-10T06:36:05.000000000Z,1.1329,1.1329,1.1329,1.1329,0.0,0.0,6.162880069358073e-06,5.428454577043695e-06,53.17
95,5460,EUR_USD,S5,True,1,2022-01-10T06:36:15.000000000Z,1.13292,1.13292,1.13292,1.13292,1.999999999990898e-05,0.0,8.930304055468255e-06,4.342763661634956e-06,67.28
96,5588,EUR_USD,S5,True,1,2022-01-10T06:36:55.000000000Z,1.13294,1.13294,1.13294,1.13294,2.0000000000131024e-05,0.0,1.1144243244400808e-05,3.4742109293079645e-06,76.23
97,5638,EUR_USD,S5,True,6,2022-01-10T06:37:10.000000000Z,1.13296,1.13301,1.13296,1.13301,1.999999999990898e-05,0.0,1.2915394595502443e-05,2.7793687434463718e-06,82.29
98,5700,EUR_USD,S5,True,1,2022-01-10T06:37:30.000000000Z,1.13302,1.13302,1.13302,1.13302,5.999999999994898e-05,0.0,2.233231567639175e-05,2.2234949947570973e-06,90.95
99,5716,EUR_USD,S5,True,9,2022-01-10T06:37:40.000000000Z,1.13301,1.13306,1.13299,1.13299,0.0,9.999999999843467e-06,1.78658525411134e-05,3.7787959957743716e-06,82.54
100,5751,EUR_USD,S5,True,5,2022-01-10T06:37:45.000000000Z,1.13298,1.13299,1.13298,1.13298,0.0,2.999999999997449e-05,1.4292682032890722e-05,9.023036796614395e-06,61.3
101,5816,EUR_USD,S5,True,7,2022-01-10T06:38:05.000000000Z,1.13302,1.13304,1.13298,1.13301,3.999999999981796e-05,0.0,1.943414562627617e-05,7.218429437291516e-06,72.92
