,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
8,EUR_USD,S5,True,3,2022-01-10T06:06:30.000000000Z,1.13314,1.13314,1.13312,1.13314
38,EUR_USD,S5,True,8,2022-01-10T06:06:35.000000000Z,1.13312,1.13314,1.13312,1.13314
86,EUR_USD,S5,True,4,2022-01-10T06:06:50.000000000Z,1.13314,1.13314,1.13312,1.13314
229,EUR_USD,S5,True,9,2022-01-10T06:07:35.000000000Z,1.13308,1.13308,1.13301,1.13303
313,EUR_USD,S5,True,4,2022-01-10T06:08:00.000000000Z,1.13302,1.13302,1.13302,1.13302
422,EUR_USD,S5,True,1,2022-01-10T06:08:35.000000000Z,1.13304,1.13304,1.13304,1.13304
556,EUR_USD,S5,True,4,2022-01-10T06:09:15.000000000Z,1.13302,1.13304,1.13302,1.13302
605,EUR_USD,S5,True,1,2022-01-10T06:09:30.000000000Z,1.13304,1.13304,1.13304,1.13304
636,EUR_USD,S5,True,2,2022-01-10T06:09:40.000000000Z,1.13306,1.13307,1.13306,1.13307
686,EUR_USD,S5,True,2,2022-01-10T06:09:55.000000000Z,1.13305,1.13306,1.13305,1.13306
766,EUR_USD,S5,True,1,2022-01-10T06:10:20.000000000Z,1.13304,1.13304,1.13304,1.13304
850,EUR_USD,S5,True,1,2022-01-10T06:10:45.000000000Z,1.13308,1.13308,1.13308,1.13308
884,EUR_USD,S5,True,1,2022-01-10T06:10:55.000000000Z,1.1331,1.1331,1.1331,1.1331
918,EUR_USD,S5,True,1,2022-01-10T06:11:05.000000000Z,1.13311,1.13311,1.13311,1.13311
1011,EUR_USD,S5,True,1,2022-01-10T06:11:40.000000000Z,1.13317,1.13317,1.13317,1.13317
1071,EUR_USD,S5,True,2,2022-01-10T06:12:05.000000000Z,1.13315,1.13315,1.13314,1.13314
1100,EUR_USD,S5,True,1,2022-01-10T06:12:10.000000000Z,1.13315,1.13315,1.13315,1.13315
1123,EUR_USD,S5,True,1,2022-01-10T06:12:20.000000000Z,1.13314,1.13314,1.13314,1.13314
1177,EUR_USD,S5,True,1,2022-01-10T06:12:40.000000000Z,1.13313,1.13313,1.13313,1.13313
1223,EUR_USD,S5,True,4,2022-01-10T06:12:55.000000000Z,1.13314,1.13316,1.13313,1.13313
1255,EUR_USD,S5,True,2,2022-01-10T06:13:05.000000000Z,1.13314,1.13314,1.13313,1.13313
1355,EUR_USD,S5,True,5,2022-01-10T06:13:35.000000000Z,1.1332,1.13322,1.13318,1.1332
1455,EUR_USD,S5,True,1,2022-01-10T06:14:05.000000000Z,1.13318,1.13318,1.13318,1.13318
1553,EUR_USD,S5,True,2,2022-01-10T06:14:35.000000000Z,1.13316,1.13316,1.13314,1.13314
1601,EUR_USD,S5,True,7,2022-01-10T06:14:55.000000000Z,1.13313,1.13313,1.1331,1.1331
1632,EUR_USD,S5,True,1,2022-01-10T06:15:05.000000000Z,1.1331,1.1331,1.1331,1.1331
