Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
EUR_USD,M1,False,57,2022-02-07T10:01:00.000000000Z,1.14216,1.14243,1.14215,1.14241
EUR_USD,M1,True,65,2022-02-07T10:02:00.000000000Z,1.14242,1.14250,1.14240,1.14250
EUR_USD,M1,False,35,2022-02-07T10:03:00.000000000Z,1.14248,1.14250,1.14242,1.14243
EUR_USD,M1,True,73,2022-02-07T10:04:00.000000000Z,1.14242,1.14243,1.14223,1.14236
EUR_USD,M1,False,26,2022-02-07T10:05:00.000000000Z,1.14236,1.14253,1.14232,1.14250
EUR_USD,M1,True,49,2022-02-07T10:06:00.000000000Z,1.14249,1.14263,1.14249,1.14250
EUR_USD,M1,True,60,2022-02-07T10:07:00.000000000Z,1.14249,1.14254,1.14240,1.14245
EUR_USD,M1,True,59,2022-02-07T10:08:00.000000000Z,1.14246,1.14249,1.14226,1.14232
EUR_USD,M1,False,52,2022-02-07T10:09:00.000000000Z,1.14234,1.14236,1.14222,1.14236
EUR_USD,M1,False,44,2022-02-07T10:10:00.000000000Z,1.14235,1.14249,1.14232,1.14249
EUR_USD,M1,True,40,2022-02-07T10:11:00.000000000Z,1.14244,1.14249,1.14241,1.14248
EUR_USD,M1,False,26,2022-02-07T10:12:00.000000000Z,1.14249,1.14253,1.14242,1.14253
EUR_USD,M1,True,69,2022-02-07T10:13:00.000000000Z,1.14252,1.14254,1.14239,1.14241
EUR_USD,M1,False,63,2022-02-07T10:14:00.000000000Z,1.14240,1.14244,1.14228,1.14240
EUR_USD,M1,False,41,2022-02-07T10:15:00.000000000Z,1.14242,1.14248,1.14238,1.14248
EUR_USD,M1,False,53,2022-02-07T10:16:00.000000000Z,1.14247,1.14248,1.14230,1.14234
EUR_USD,M1,False,32,2022-02-07T10:17:00.000000000Z,1.14236,1.14248,1.14236,1.14238
EUR_USD,M1,False,35,2022-02-07T10:18:00.000000000Z,1.14239,1.14240,1.14227,1.14232
EUR_USD,M1,True,43,2022-02-07T10:19:00.000000000Z,1.14232,1.14232,1.14216,1.14222
EUR_USD,M1,False,78,2022-02-07T10:20:00.000000000Z,1.14221,1.14233,1.14214,1.14214
EUR_USD,M1,True,39,2022-02-07T10:21:00.000000000Z,1.14216,1.14237,1.14216,1.14236
EUR_USD,M1,False,40,2022-02-07T10:22:00.000000000Z,1.14237,1.14262,1.14237,1.14262
EUR_USD,M1,False,75,2022-02-07T10:23:00.000000000Z,1.14260,1.14284,1.14256,1.14284
EUR_USD,M1,False,64,2022-02-07T10:24:00.000000000Z,1.14282,1.14288,1.14278,1.14288
EUR_USD,M1,False,82,2022-02-07T10:25:00.000000000Z,1.14290,1.14300,1.14285,1.14285
EUR_USD,M1,True,46,2022-02-07T10:26:00.000000000Z,1.14283,1.14308,1.14282,1.14308
EUR_USD,M1,True,48,2022-02-07T10:27:00.000000000Z,1.14307,1.14308,1.14292,1.14298
EUR_USD,M1,False,28,2022-02-07T10:28:00.000000000Z,1.14297,1.14303,1.14294,1.14294
EUR_USD,M1,False,36,2022-02-07T10:29:00.000000000Z,1.14295,1.14300,1.14289,1.14293
EUR_USD,M1,False,63,2022-02-07T10:30:00.000000000Z,1.14292,1.14298,1.14282,1.14282
EUR_USD,M1,False,69,2022-02-07T10:31:00.000000000Z,1.14282,1.14296,1.14281,1.14285
EUR_USD,M1,False,48,2022-02-07T10:32:00.000000000Z,1.14284,1.14288,1.14272,1.14272
EUR_USD,M1,False,37,2022-02-07T10:33:00.000000000Z,1.14274,1.14280,1.14262,1.14263
EUR_USD,M1,False,51,2022-02-07T10:34:00.000000000Z,1.14262,1.14268,1.14256,1.14256
EUR_USD,M1,False,45,2022-02-07T10:35:00.000000000Z,1.14256,1.14257,1.14250,1.14252
EUR_USD,M1,False,41,2022-02-07T10:36:00.000000000Z,1.14253,1.14257,1.14248,1.14254
EUR_USD,M1,False,77,2022-02-07T10:37:00.000000000Z,1.14255,1.14267,1.14252,1.14252
EUR_USD,M1,False,51,2022-02-07T10:38:00.000000000Z,1.14251,1.14251,1.14219,1.14219
EUR_USD,M1,False,59,2022-02-07T10:39:00.000000000Z,1.14220,1.14220,1.14202,1.14213
EUR_USD,M1,False,48,2022-02-07T10:40:00.000000000Z,1.14218,1.14229,1.14217,1.14224
EUR_USD,M1,False,90,2022-02-07T10:41:00.000000000Z,1.14223,1.14228,1.14192,1.14193
